"group_number","probability","protein_name","n_indistinguishable_proteins","total_number_peptides","total_number_distinct_peptides","Spectral index","Normalized spectral index","number of quantified peptides","Normalized spectral abundance factor"
"1",1,"sp|O00762ups|UBE2C_HUMAN_UPS","1","13",13,"2710.8389133841","-17.4923131794","11","-9.1930709250"
"2",1,"sp|O13547|CCW14_YEAST","1","10",10,"3229.3751529683","-17.6032338214","9","-9.8460138450"
"3",1,"sp|O76070ups|SYUG_HUMAN_UPS","1","39",39,"9574.0224190697","-15.3402182655","32","-7.3207934279"
"4",1,"sp|P00167ups|CYB5_HUMAN_UPS","1","30",30,"6413.6220983292","-15.8478147718","23","-7.7268421440"
"5",1,"sp|P00175|CYB2_YEAST","1","6",6,"1081.6018047722","-20.4935159612","3","-12.7431729026"
"6",1,"sp|P00358|G3P2_YEAST","1","167",167,"10651.6888045028","-16.3617002565","32","-8.4961605145"
"7",1,"sp|P00359|G3P3_YEAST","1","646",646,"117211.6928532995","-12.9017378487","390","-4.8888302007"
"8",1,"sp|P00360|G3P1_YEAST","1","39",39,"5790.4298205928","-17.2410400937","28","-8.6888055924"
"9",1,"sp|P00445|SODC_YEAST","1","38",38,"9880.8629801917","-15.3618205956","29","-7.5299266287"
"10",1,"sp|P00447|SODM_YEAST","1","8",8,"2651.4472205868","-17.8570772191","8","-9.9853072278"
"11",1,"sp|P00560|PGK_YEAST","1","328",328,"85344.0321564756","-13.6848924547","297","-5.6072416804"
"12",1,"sp|P00709ups|LALBA_HUMAN_UPS","1","19",19,"816.5575094948","-18.6345592081","4","-10.0636355884"
"13",1,"sp|P00729|CBPY_YEAST","1","10",10,"2382.4396917575","-19.2025138458","10","-10.8544754237"
"14",1,"sp|P00812|ARGI_YEAST","1","12",12,"939.1204000594","-19.8696674364","6","-10.9155369495"
"15",1,"sp|P00815|HIS2_YEAST","1","20",20,"2919.2986509266","-19.4961009886","18","-10.5932477746"
"16",1,"sp|P00817|IPYR_YEAST","1","41",41,"11255.2030636996","-16.0720578511","39","-8.0006257909"
"17",1,"sp|P00830|ATPB_YEAST","1","48",48,"11455.2101153410","-16.8789185698","48","-8.5333380633"
"18",1,"sp|P00890|CISY1_YEAST","1","41",41,"8774.1073044891","-17.1703006006","40","-8.7030748340"
"19",1,"sp|P00899|TRPE_YEAST","1","12",12,"1901.6555440351","-19.4582570945","11","-10.6475314015"
"20",1,"sp|P00915ups|CAH1_HUMAN_UPS","1","13",13,"2340.0234180055","-18.1955159503","12","-9.5585263954"
"21",1,"sp|P00918ups|CAH2_HUMAN_UPS","1","19",19,"2653.8269381931","-18.0084051002","14","-9.3305744487"
"22",1,"sp|P00924|ENO1_YEAST","1","433",433,"18162.2947772612","-15.9882859833","53","-8.1646900980"
"23",1,"sp|P00925|ENO2_YEAST","1","616",616,"41965.1158902719","-14.7800419147","161","-6.5616936745"
"24",1,"sp|P00931|TRP_YEAST","1","20",20,"4787.5752247439","-18.6059423543","19","-10.3387599745"
"25",1,"sp|P00942|TPIS_YEAST","1","321",321,"79791.6591863952","-13.0357013746","297","-4.8609982727"
"26",1,"sp|P00950|PMG1_YEAST","1","80",80,"16253.9519309005","-15.3253197090","67","-7.0033991242"
"27",1,"sp|P00958|SYMC_YEAST","1","5",5,"740.5123852609","-21.3857444323","4","-12.6737901806"
"28",1,"sp|P01008ups|ANT3_HUMAN_UPS","1","58",58,"9407.4593399962","-16.9207534584","44","-8.4165769666"
"29",1,"sp|P01112ups|RASH_HUMAN_UPS","1","7",7,"1394.9684688583","-18.4816810168","7","-9.8760085853"
"30",1,"sp|P01344ups|IGF2_HUMAN_UPS","1","8",8,"1956.4547135371","-16.4975185793","7","-8.3798553515"
"31",1,"sp|P01375ups|TNFA_HUMAN_UPS","1","9",9,"2889.8885474820","-17.1632779997","9","-9.2458168306"
"32",1,"sp|P01579ups|IFNG_HUMAN_UPS","1","6",6,"1221.5694769027","-18.2708065225","5","-9.9590643250"
"33",1,"sp|P02144ups|MYG_HUMAN_UPS","1","17",17,"4350.8881915443","-16.5357490046","16","-8.3785089258"
"34",1,"sp|P02293|H2B1_YEAST","2","17",17,"2280.0352140778","-17.2440380003","16","-8.1545440846"
"35",1,"sp|P02309|H4_YEAST","1","17",17,"1541.9371628265","-17.4614276586","10","-8.4856935154"
"36",1,"sp|P02400|RLA4_YEAST","1","30",30,"6638.4154131499","-15.4501919066","24","-7.3175182959"
"37",1,"sp|P02406|RL28_YEAST","1","30",30,"2940.9902956622","-17.0625376017","16","-8.3402896036"
"38",1,"sp|P02407|RS17A_YEAST","2","14",14,"2815.8340641465","-16.9935716272","12","-8.6236214236"
"39",1,"sp|P02557|TBB_YEAST","1","11",11,"1914.0035359823","-19.2991279650","11","-10.4977398195"
"40",1,"sp|P02753ups|RET4_HUMAN_UPS","1","4",4,"707.9986163816","-19.5489043502","4","-10.7721727743"
"41",1,"sp|P02768ups|ALBU_HUMAN_UPS","1","78",78,"14055.3616130373","-16.7764469975","62","-8.3567493316"
"42",1,"sp|P02787ups|TRFE_HUMAN_UPS","1","51",51,"8915.8529611026","-17.6505660452","45","-9.0365357510"
"43",1,"sp|P02788ups|TRFL_HUMAN_UPS","1","86",86,"16192.8218851182","-16.8149304879","69","-8.4451385267"
"44",1,"sp|P02829|HSP82_YEAST","1","125",125,"4746.1688804468","-18.6225494862","16","-10.5907629003"
"45",1,"sp|P02992|EFTU_YEAST","1","20",20,"5180.0650016721","-17.7981903730","19","-9.6446830392"
"46",1,"sp|P02994|EF1A_YEAST","1","310",310,"82425.6997040422","-13.8738525694","299","-5.7363231970"
"47",1,"sp|P03962|PYRF_YEAST","1","5",5,"1206.6564234607","-19.1893520870","5","-10.8598889199"
"48",1,"sp|P03965|CARB_YEAST","1","10",10,"1652.5454222351","-20.8016856514","9","-12.0779005545"
"49",1,"sp|P04037|COX4_YEAST","1","7",7,"1879.5281886951","-17.7654249576","7","-9.5898905663"
"50",1,"sp|P04040ups|CATA_HUMAN_UPS","1","46",46,"8745.7572281096","-17.3100067929","34","-9.0725772312"
"51",1,"sp|P04076|ARLY_YEAST","1","22",22,"3260.8314483056","-18.5492996179","19","-9.7280619529"
"52",1,"sp|P04147|PABP_YEAST","1","40",40,"6058.2275817140","-17.9732028387","32","-9.2935485918"
"53",1,"sp|P04456|RL25_YEAST","1","10",10,"2298.3626202490","-17.3488117899","10","-8.9489401077"
"54",1,"sp|P04801|SYTC_YEAST","1","18",18,"2668.1902854144","-19.5034458001","16","-10.6407573360"
"55",1,"sp|P04802|SYDC_YEAST","1","31",31,"6405.3658817105","-17.8419236411","27","-9.4877670983"
"56",1,"sp|P04806|HXKA_YEAST","1","41",41,"8437.8976474798","-17.2446284545","34","-8.9554991789"
"57",1,"sp|P04807|HXKB_YEAST","1","56",56,"11557.6973666884","-16.7937015146","47","-8.4913447350"
"58",1,"sp|P04840|VDAC1_YEAST","1","31",31,"6820.0097392554","-16.7745555484","28","-8.4584244039"
"59",1,"sp|P04911|H2A1_YEAST","2","9",9,"2314.2892831317","-17.2334960137","9","-8.9955902010"
"60",1,"sp|P05317|RLA0_YEAST","1","23",23,"5242.0917046122","-17.2949307317","22","-8.9470916833"
"61",1,"sp|P05318|RLA1_YEAST","1","3",3,"1165.4480816849","-17.9067068228","3","-10.2640790370"
"62",1,"sp|P05319|RLA2_YEAST","1","9",9,"2433.3647830937","-16.8446389503","8","-8.8490415377"
"63",1,"sp|P05413ups|FABPH_HUMAN_UPS","1","16",16,"1873.3252857789","-17.5384637923","10","-8.8435871076"
"64",1,"sp|P05694|METE_YEAST","1","92",92,"17363.1973515003","-16.8647931399","74","-8.4947504850"
"65",1,"sp|P05738|RL9A_YEAST","2","43",43,"8629.3224579621","-15.8678526443","38","-7.4506223977"
"66",1,"sp|P05750|RS3_YEAST","1","39",39,"7571.9542267201","-16.3858960109","34","-7.9405488375"
"67",1,"sp|P05756|RS13_YEAST","1","28",28,"5693.0504349724","-16.1288739637","27","-7.6046383203"
"68",1,"sp|P06101|CDC37_YEAST","1","6",6,"1316.7464332915","-19.9856871281","5","-11.7821865629"
"69",1,"sp|P06105|SC160_YEAST","1","8",8,"1145.9248897765","-21.4581871899","6","-12.7911871522"
"70",1,"sp|P06106|CYSD_YEAST","1","48",48,"8264.0539678444","-17.1472372958","40","-8.5936088546"
"71",1,"sp|P06168|ILV5_YEAST","1","61",61,"11528.5205275878","-16.4982444716","48","-8.1618674255"
"72",1,"sp|P06367|RS14A_YEAST","2","18",18,"3691.2211747002","-16.6136050028","14","-8.4117982440"
"73",1,"sp|P06396ups|GELS_HUMAN_UPS","1","78",78,"16270.0211343326","-16.9358597194","62","-8.7272576069"
"74",1,"sp|P06732ups|KCRM_HUMAN_UPS","1","44",44,"5878.6337929149","-17.4178373840","30","-8.7878776750"
"75",1,"sp|P06738|PHSG_YEAST","1","22",22,"2875.1208389020","-19.6930321357","15","-11.0312141108"
"76",1,"sp|P06787|CALM_YEAST","1","9",9,"1446.7430211535","-18.0665347651","9","-9.1508684265"
"77",1,"sp|P07143|CY1_YEAST","1","7",7,"560.7863445540","-20.5056110085","3","-11.8076216103"
"78",1,"sp|P07149|FAS1_YEAST","1","103",103,"21371.6292715287","-17.9841578902","84","-9.7309154368"
"79",1,"sp|P07170|KAD2_YEAST","1","18",18,"3454.6663916462","-17.4055405715","14","-9.1081820274"
"80",1,"sp|P07245|C1TC_YEAST","1","22",22,"2757.1667951733","-19.8221809324","15","-11.0999268608"
"81",1,"sp|P07251|ATPA_YEAST","1","32",32,"6212.1786291277","-17.8546842102","29","-9.3532525076"
"82",1,"sp|P07256|QCR1_YEAST","1","13",13,"2131.6796371102","-19.1437308235","13","-10.2567317200"
"83",1,"sp|P07257|QCR2_YEAST","1","26",26,"5852.9714813385","-17.3740638120","25","-9.0008268494"
"84",1,"sp|P07259|PYR1_YEAST","1","162",162,"26457.2294089925","-17.7865205259","120","-9.3266699943"
"85",1,"sp|P07260|IF4E_YEAST","1","6",6,"1339.2121501305","-18.7129962032","5","-10.5339026084"
"86",1,"sp|P07262|DHE4_YEAST","1","79",79,"12542.9807151082","-16.5774112664","45","-8.4558164741"
"87",1,"sp|P07264|LEUC_YEAST","1","7",7,"880.2607832654","-21.1891477227","6","-12.1416381004"
"88",1,"sp|P07267|CARP_YEAST","1","30",30,"6294.3406947752","-17.4073939331","26","-9.0824594627"
"89",1,"sp|P07274|PROF_YEAST","1","12",12,"2304.5455593157","-17.1724687395","12","-8.5134385059"
"90",1,"sp|P07280|RS19A_YEAST","2","28",28,"4611.3993386783","-16.3643915006","24","-7.7060835838"
"91",1,"sp|P07283|PMM_YEAST","1","19",19,"2102.1837623736","-18.3164670039","10","-9.7878776750"
"92",1,"sp|P07284|SYSC_YEAST","1","31",31,"5884.2646490010","-17.6945580122","23","-9.4493081685"
"93",1,"sp|P07342|ILVB_YEAST","1","18",18,"4152.8541371490","-18.7697341938","16","-10.5452873719"
"94",1,"sp|P07806|SYV_YEAST","1","63",63,"6459.0963290298","-18.8168632255","37","-10.0201921743"
"95",1,"sp|P08263ups|GSTA1_HUMAN_UPS","1","10",10,"1634.8299586101","-18.4784330780","7","-10.1016687204"
"96",1,"sp|P08417|FUMH_YEAST","1","19",19,"3297.4305113072","-18.6090661856","14","-10.2445034986"
"97",1,"sp|P08524|FPPS_YEAST","1","23",23,"5100.3410186373","-17.5085090120","22","-9.1211210831"
"98",1,"sp|P08566|ARO1_YEAST","1","6",6,"1230.0398083374","-21.7339612953","5","-13.4321881854"
"99",1,"sp|P08758ups|ANXA5_HUMAN_UPS","1","33",33,"4869.3590984588","-17.4333518205","26","-8.7380939787"
"100",1,"sp|P09211ups|GSTP1_HUMAN_UPS","1","3",3,"1081.5938052298","-18.9938714433","3","-11.2435177145"
"101",1,"sp|P09232|PRTB_YEAST","1","17",17,"1399.0776780912","-20.2258078222","8","-11.4317338648"
"102",1,"sp|P09436|SYIC_YEAST","1","40",40,"7217.2009859278","-18.6143208638","34","-10.0997474323"
"103",1,"sp|P09457|ATPO_YEAST","1","2",2,"434.7501694580","-20.3293330646","2","-11.8490415377"
"104",1,"sp|P09624|DLDH_YEAST","1","19",19,"2367.4168707558","-19.1192533425","16","-10.0840170884"
"105",1,"sp|P09733|TBA1_YEAST","1","4",4,"856.5948229010","-20.4271172633","4","-11.9252521043"
"106",1,"sp|P09938|RIR2_YEAST","1","20",20,"4568.1661161367","-17.8483009277","20","-9.4394379244"
"107",1,"sp|P0C0T4|RS25B_YEAST","2","7",7,"1404.9546355589","-17.6640350591","7","-9.0686536632"
"108",1,"sp|P0C0W1|RS22A_YEAST","2","13",13,"3064.3615665293","-16.8064523860","10","-8.8215608012"
"109",1,"sp|P0C0W9|RL11A_YEAST","2","21",21,"3165.2660669368","-17.1802878256","15","-8.6571739833"
"110",1,"sp|P0C2H6|RL27A_YEAST","2","45",45,"11451.7797807653","-14.9696340189","41","-6.8510319197"
"111",1,"sp|P0CX08|DSF1_YEAST","2","22",22,"1813.1577201866","-19.5127102335","12","-10.5077021363"
"112",1,"sp|P0CX23|RL20A_YEAST","2","26",26,"5295.3767755522","-16.4212025216","26","-7.8469461197"
"113",1,"sp|P0CX25|RL43A_YEAST","2","17",17,"2025.5608075796","-16.9049116656","11","-8.1852514205"
"114",1,"sp|P0CX29|RS23A_YEAST","2","6",6,"663.5075853420","-19.1713953311","4","-10.3010301731"
"115",1,"sp|P0CX31|RS24A_YEAST","2","17",17,"4262.8917940872","-16.3846542666","16","-8.1979366802"
"116",1,"sp|P0CX35|RS4A_YEAST","2","110",110,"26960.4357849521","-14.6748051905","107","-6.4075600933"
"117",1,"sp|P0CX37|RS6A_YEAST","2","38",38,"6709.5673136470","-16.5360944215","31","-8.0495678221"
"118",1,"sp|P0CX39|RS8A_YEAST","2","35",35,"6087.7653715691","-16.4376145378","29","-7.9069962778"
"119",1,"sp|P0CX41|RL23A_YEAST","2","17",17,"2091.7347799997","-17.4330032503","11","-8.7597215474"
"120",1,"sp|P0CX43|RL1A_YEAST","2","12",12,"2917.3249892219","-17.6165762265","12","-9.2977098148"
"121",1,"sp|P0CX45|RL2A_YEAST","2","16",16,"4113.9627744286","-17.3478270523","16","-9.1098057699"
"122",1,"sp|P0CX47|RS11A_YEAST","2","16",16,"2304.0764284345","-17.4808847508","13","-8.7060835838"
"123",1,"sp|P0CX49|RL18A_YEAST","2","13",13,"1946.5940576087","-17.9778778601","10","-9.3383517993"
"124",1,"sp|P0CX51|RS16A_YEAST","2","23",23,"3104.6465902797","-16.9251133897","13","-8.5805527017"
"125",1,"sp|P0CX53|RL12A_YEAST","2","21",21,"3525.7624598679","-16.9480580396","14","-8.6800883753"
"126",1,"sp|P0CX55|RS18A_YEAST","2","15",15,"2053.8842845816","-17.5511407611","13","-8.6105059238"
"127",1,"sp|P0CX80|MTCU1_YEAST","2","7",7,"947.3302341040","-17.4084691086","4","-9.0518584207"
"128",1,"sp|P0CX82|RL19A_YEAST","2","75",75,"14699.7302035966","-15.0841957581","71","-6.5336163878"
"129",1,"sp|P0CX84|RL35A_YEAST","2","21",21,"4478.4890750719","-16.1435496138","16","-8.0280116787"
"130",1,"sp|P10080|SSBP1_YEAST","1","6",6,"1465.2283552632","-19.0482179243","5","-10.9988653331"
"131",1,"sp|P10081|IF4A_YEAST","1","45",45,"9160.1520619297","-16.8300084003","39","-8.4614277073"
"132",1,"sp|P10636-8ups|TAU_HUMAN_UPS","1","34",34,"8220.7402804849","-17.1417625036","33","-8.8580866773"
"133",1,"sp|P10659|METK1_YEAST","1","17",17,"1280.9459653944","-19.6198903139","6","-11.1135874104"
"134",1,"sp|P10963|PCKA_YEAST","1","50",50,"12554.2580813202","-16.8502285770","47","-8.6671945704"
"135",1,"sp|P11412|G6PD_YEAST","1","21",21,"3658.1711177940","-18.5086881213","19","-9.8533331473"
"136",1,"sp|P11745|RNA1_YEAST","1","7",7,"926.1724044437","-20.1792034120","7","-10.9826511453"
"137",1,"sp|P12081ups|SYHC_HUMAN_UPS","1","34",34,"1585.5534681460","-19.7431131982","9","-10.9596247037"
