"protein_group","abundance_12500amol_1","abundance_12500amol_2","abundance_12500amol_3","abundance_125amol_1","abundance_125amol_2","abundance_125amol_3","abundance_25000amol_1","abundance_25000amol_2","abundance_25000amol_3","abundance_2500amol_1","abundance_2500amol_2","abundance_2500amol_3","abundance_250amol_1","abundance_250amol_2","abundance_250amol_3","abundance_50000amol_1","abundance_50000amol_2","abundance_50000amol_3","abundance_5000amol_1","abundance_5000amol_2","abundance_5000amol_3","abundance_500amol_1","abundance_500amol_2","abundance_500amol_3","abundance_50amol_1","abundance_50amol_2","abundance_50amol_3","number_of_peptides_12500amol_1","number_of_peptides_12500amol_2","number_of_peptides_12500amol_3","number_of_peptides_125amol_1","number_of_peptides_125amol_2","number_of_peptides_125amol_3","number_of_peptides_25000amol_1","number_of_peptides_25000amol_2","number_of_peptides_25000amol_3","number_of_peptides_2500amol_1","number_of_peptides_2500amol_2","number_of_peptides_2500amol_3","number_of_peptides_250amol_1","number_of_peptides_250amol_2","number_of_peptides_250amol_3","number_of_peptides_50000amol_1","number_of_peptides_50000amol_2","number_of_peptides_50000amol_3","number_of_peptides_5000amol_1","number_of_peptides_5000amol_2","number_of_peptides_5000amol_3","number_of_peptides_500amol_1","number_of_peptides_500amol_2","number_of_peptides_500amol_3","number_of_peptides_50amol_1","number_of_peptides_50amol_2","number_of_peptides_50amol_3"
"sp|A0A0B7P3V8|YP41B_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA
"sp|A5Z2X5|YP010_YEAST",-18.1317333716,NA,-19.7191966221,-18.1344066463,-19.7265170373,NA,-19.7208892395,-19.6531182303,-19.6926039614,-19.6659426025,-18.6801341943,NA,-19.7114153346,-19.7829684319,-19.7477527901,-19.6708301531,-19.6826704875,-19.6727475468,-18.0439367534,-19.6249212278,-19.6738672172,-18.6864732023,-19.7015065967,-18.7220940648,-18.7593128559,-18.7220657012,-19.7432383618,3,NA,1,3,1,NA,1,1,1,1,2,NA,1,1,1,1,1,1,3,1,1,2,1,2,2,2,1
"sp|O00762ups|UBE2C_HUMAN_UPS",-18.1160680237,-18.9757961685,-18.8458500415,NA,NA,NA,-17.5581939443,-17.6749943955,-17.4923131794,-20.435157463,NA,NA,NA,NA,NA,-16.1280103487,-15.7625460976,-15.8825977784,-18.1493424408,-19.7214512965,-18.9934555265,NA,NA,NA,NA,NA,NA,8,5,6,NA,NA,NA,13,10,13,2,NA,NA,NA,NA,NA,25,29,30,8,3,5,NA,NA,NA,NA,NA,NA
"sp|O13329|FOB1_YEAST",-22.5307322354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O13516|RS9A_YEAST",NA,NA,NA,-21.4062489321,-21.5787535534,-21.7870125695,NA,NA,NA,NA,NA,-21.4833490084,NA,NA,NA,-21.2820585014,NA,NA,NA,NA,NA,NA,NA,-21.6186623769,NA,NA,-21.5677436172,31,23,32,22,16,23,21,32,27,32,26,26,21,25,28,38,31,33,29,27,32,25,29,33,22,21,28
"sp|O13527|YA11B_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,2,NA
"sp|O13535|YH11B_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,23,20,16,21,24,26,24,25,27,28,27,23,24,27,19,19,24,29,29,27,22,26,25,22,27,21
"sp|O13547|CCW14_YEAST",-17.489176575,-17.8239600727,-18.0353279768,-16.9461894926,-16.8524917131,-16.9568871127,-17.9130410227,-17.4546658997,-17.6032338214,-17.3507193386,-17.9944242758,-16.9507736486,-16.8161687434,-16.8425427989,-17.1831637918,-17.5840810553,-17.5161734657,-17.1155411773,-16.9425489156,-17.4355908303,-17.5775776264,-16.8701477547,-17.1274833494,-17.0063990554,-17.5075878671,-17.7023821186,-17.027128988,12,11,7,17,17,19,8,11,10,12,7,16,20,20,17,10,10,13,16,10,12,17,17,17,12,12,16
"sp|O13559|YRF14_YEAST",-22.9229294024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA
"sp|O13563|RPN13_YEAST",NA,NA,NA,NA,NA,NA,NA,-20.7559379739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.4753057412,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
