"group_number","probability","protein_name","n_indistinguishable_proteins","total_number_peptides","total_number_distinct_peptides","Spectral index","Normalized spectral index","number of quantified peptides","Normalized spectral abundance factor"
"1",1,"sp|O13516|RS9A_YEAST","1","23",23,"157.0435269293","-21.7870125695","1","-12.7639024329"
"2",1,"sp|O13547|CCW14_YEAST","1","19",19,"5396.8881374858","-16.9568871127","17","-8.9492055355"
"3",1,"sp|P00175|CYB2_YEAST","1","6",6,"1647.2333627154","-19.9811664987","6","-11.7639024329"
"4",1,"sp|P00358|G3P2_YEAST","1","202",202,"9358.7878337478","-16.6429148837","27","-8.7620025427"
"5",1,"sp|P00359|G3P3_YEAST","1","658",658,"162104.8440926600","-12.5284531727","441","-4.7322551993"
"6",1,"sp|P00360|G3P1_YEAST","1","37",37,"5774.1380721379","-17.3396309593","29","-8.6589090497"
"7",1,"sp|P00427|COX6_YEAST","1","5",5,"581.9595299139","-19.4846597644","4","-10.3513039791"
"8",1,"sp|P00445|SODC_YEAST","1","49",49,"13739.4912315083","-14.9807269971","45","-6.9167840579"
"9",1,"sp|P00447|SODM_YEAST","1","10",10,"3656.3860127149","-17.4879648917","10","-9.6841086633"
"10",1,"sp|P00498|HIS1_YEAST","1","5",5,"1059.4636730571","-19.6251821334","4","-11.3561697343"
"11",1,"sp|P00560|PGK_YEAST","1","395",395,"108792.2063620056","-13.4292054536","364","-5.3344956914"
"12",1,"sp|P00729|CBPY_YEAST","1","7",7,"1378.5358492514","-20.0863427839","7","-11.3897781269"
"13",1,"sp|P00812|ARGI_YEAST","1","13",13,"1422.6198671948","-19.3650252847","7","-10.7138740585"
"14",1,"sp|P00815|HIS2_YEAST","1","18",18,"3001.8255311885","-19.5504086982","18","-10.6139773050"
"15",1,"sp|P00817|IPYR_YEAST","1","43",43,"10660.6438117466","-16.2448813986","38","-8.0588300267"
"16",1,"sp|P00830|ATPB_YEAST","1","51",51,"11066.4040995394","-17.0232620089","47","-8.5844412427"
"17",1,"sp|P00890|CISY1_YEAST","1","47",47,"10115.3155567759","-17.0596095580","42","-8.6534150364"
"18",1,"sp|P00899|TRPE_YEAST","1","11",11,"1660.2712330509","-19.7486201218","9","-10.9577675490"
"19",1,"sp|P00924|ENO1_YEAST","1","425",425,"19648.6224252538","-15.9693303406","62","-7.9591437726"
"20",1,"sp|P00925|ENO2_YEAST","1","715",715,"77415.7140839361","-13.9911320697","284","-5.7635929635"
"21",1,"sp|P00931|TRP_YEAST","1","26",26,"7203.0675716922","-18.1111521005","25","-9.9635608285"
