task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	3f/730026	2861923	set_comet_configuration (1)	COMPLETED	0	2022-07-11 11:12:14.807	4.2s	326ms	31.5%	3.2 MB	6.1 MB	226.3 KB	125.4 KB
14	fe/6b6dad	2861703	convert_raw_mzml (13)	COMPLETED	0	2022-07-11 11:12:14.714	4m 1s	3m 58s	94.0%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
5	a4/85967e	2861666	convert_raw_mzml (5)	COMPLETED	0	2022-07-11 11:12:14.701	4m 4s	4m 2s	93.9%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
11	33/b58813	2861735	convert_raw_mzml (11)	COMPLETED	0	2022-07-11 11:12:14.731	4m 7s	4m 4s	93.9%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
17	0c/c06544	2861528	convert_raw_mzml (16)	COMPLETED	0	2022-07-11 11:12:14.642	4m 7s	4m 5s	93.7%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
28	c9/d4e505	2861783	convert_raw_mzml (27)	COMPLETED	0	2022-07-11 11:12:14.760	4m 7s	4m 4s	94.1%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
7	96/4f1115	2861641	convert_raw_mzml (7)	COMPLETED	0	2022-07-11 11:12:14.687	4m 7s	4m 4s	93.8%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
27	42/f25def	2861481	convert_raw_mzml (26)	COMPLETED	0	2022-07-11 11:12:14.583	4m 10s	4m 6s	93.9%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
2	d4/5dd1cb	2861615	convert_raw_mzml (2)	COMPLETED	0	2022-07-11 11:12:14.678	4m 11s	4m 7s	93.6%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
25	bb/991423	2861575	convert_raw_mzml (24)	COMPLETED	0	2022-07-11 11:12:14.665	4m 12s	4m 7s	93.5%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
10	f7/572109	2861759	convert_raw_mzml (10)	COMPLETED	0	2022-07-11 11:12:14.748	4m 12s	4m 8s	93.3%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
18	05/d977cd	2861494	convert_raw_mzml (17)	COMPLETED	0	2022-07-11 11:12:14.617	4m 12s	4m 10s	94.0%	1.9 GB	4.6 GB	1.7 GB	1.2 GB
9	ee/e1e220	2861827	convert_raw_mzml (9)	COMPLETED	0	2022-07-11 11:12:14.774	4m 19s	4m 11s	93.4%	1.9 GB	4.5 GB	1.6 GB	1.2 GB
26	bb/ea3b81	2861549	convert_raw_mzml (25)	COMPLETED	0	2022-07-11 11:12:14.654	4m 19s	4m 12s	93.7%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
12	42/b289cd	2861864	convert_raw_mzml (12)	COMPLETED	0	2022-07-11 11:12:14.789	4m 19s	4m 14s	93.9%	1.9 GB	4.5 GB	1.6 GB	1.2 GB
22	74/6b0f40	2861510	convert_raw_mzml (21)	COMPLETED	0	2022-07-11 11:12:14.631	4m 20s	4m 16s	93.9%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
23	df/62b150	2925928	convert_raw_mzml (22)	COMPLETED	0	2022-07-11 11:16:15.753	3m 55s	3m 54s	91.5%	1.7 GB	4.8 GB	1.6 GB	1.2 GB
16	71/efaead	2927105	convert_raw_mzml (15)	COMPLETED	0	2022-07-11 11:16:18.959	4m 6s	4m 5s	91.3%	1.8 GB	5.1 GB	1.6 GB	1.2 GB
24	59/094f02	2928356	convert_raw_mzml (23)	COMPLETED	0	2022-07-11 11:16:21.937	4m 4s	3m 59s	91.3%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
1	11/382845	2930372	convert_raw_mzml (1)	COMPLETED	0	2022-07-11 11:16:26.063	4m 1s	3m 56s	91.7%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
