"group_number","probability","protein_name","n_indistinguishable_proteins","total_number_peptides","total_number_distinct_peptides","Spectral index","Normalized spectral index","number of quantified peptides","Normalized spectral abundance factor"
"1",1,"sp|O13547|CCW14_YEAST","1","17",17,"5510.0507921549","-16.8701477547","17","-8.9547056154"
"2",1,"sp|P00128|QCR7_YEAST","1","6",6,"959.1589973258","-18.4862384039","6","-9.5510728793"
"3",1,"sp|P00175|CYB2_YEAST","1","6",6,"852.9453669340","-20.8738846876","3","-12.7694025128"
"4",1,"sp|P00358|G3P2_YEAST","1","204",204,"12481.7714716714","-16.1706842428","37","-8.3129367590"
"5",1,"sp|P00359|G3P3_YEAST","1","580",580,"125816.4031556379","-12.8372588267","349","-5.0753068984"
"6",1,"sp|P00360|G3P1_YEAST","1","35",35,"5422.3011034644","-17.3735298114","27","-8.7675026225"
"7",1,"sp|P00427|COX6_YEAST","1","6",6,"1004.9903660454","-18.6396673032","6","-9.7718415582"
"8",1,"sp|P00445|SODC_YEAST","1","34",34,"9544.3286580352","-15.4495384269","30","-7.5072466384"
"9",1,"sp|P00447|SODM_YEAST","1","13",13,"3390.8345714108","-17.5399413525","12","-9.4265743372"
"10",1,"sp|P00560|PGK_YEAST","1","363",363,"97848.8526414250","-13.5253522982","331","-5.4771030046"
"11",1,"sp|P00812|ARGI_YEAST","1","8",8,"913.3811129260","-19.9474851134","5","-11.2048009655"
"12",1,"sp|P00815|HIS2_YEAST","1","18",18,"2800.6440408548","-19.5936886722","17","-10.7019395450"
"13",1,"sp|P00817|IPYR_YEAST","1","48",48,"11134.5636335909","-16.1253294213","42","-7.9199401972"
"14",1,"sp|P00830|ATPB_YEAST","1","56",56,"11493.4123730723","-16.9118398001","47","-8.5899413226"
"15",1,"sp|P00899|TRPE_YEAST","1","13",13,"1885.5705906253","-19.5082363841","11","-10.6737610117"
"16",1,"sp|P00924|ENO1_YEAST","1","442",442,"21331.6035229526","-15.7939645648","66","-7.8744460434"
"17",1,"sp|P00925|ENO2_YEAST","1","698",698,"66409.3399214746","-14.1555708249","246","-5.9763256575"
"18",1,"sp|P00931|TRP_YEAST","1","19",19,"5033.9344022233","-18.5712755973","17","-10.5254542569"
"19",1,"sp|P00942|TPIS_YEAST","1","237",237,"63738.9132778289","-13.3974894027","216","-5.3466595015"
"20",1,"sp|P00950|PMG1_YEAST","1","77",77,"17837.5927879576","-15.2289138115","69","-6.9871934681"
"21",1,"sp|P00958|SYMC_YEAST","1","12",12,"769.3222615704","-21.3684047459","5","-12.3780916959"
"22",1,"sp|P02293|H2B1_YEAST","2","28",28,"3429.2018956641","-16.6929457647","26","-7.4803339767"
"23",1,"sp|P02309|H4_YEAST","1","8",8,"1028.4148428146","-18.0834737989","7","-9.0264962984"
"24",1,"sp|P02400|RLA4_YEAST","1","32",32,"6559.0633188094","-15.5052655203","27","-7.1738229047"
"25",1,"sp|P02406|RL28_YEAST","1","35",35,"5610.0762734134","-16.1685437441","31","-7.4123229034"
"26",1,"sp|P02407|RS17A_YEAST","2","29",29,"5424.4067169855","-16.0853930959","25","-7.5909573448"
"27",1,"sp|P02557|TBB_YEAST","1","10",10,"1779.7794789562","-19.4417474670","10","-10.6614729535"
"28",1,"sp|P02829|HSP82_YEAST","1","162",162,"3273.5742694863","-19.1961707158","13","-10.9165527924"
"29",1,"sp|P02992|EFTU_YEAST","1","20",20,"3865.4140722062","-18.2582621114","14","-10.1114852407"
"30",1,"sp|P02994|EF1A_YEAST","1","417",417,"109481.9684822288","-13.5020499278","411","-5.3035598977"
"31",1,"sp|P03962|PYRF_YEAST","1","6",6,"864.5381180969","-19.7080900610","5","-10.8861185301"
"32",1,"sp|P03965|CARB_YEAST","1","20",20,"2744.1699817440","-20.1077302331","14","-11.4667002441"
"33",1,"sp|P04037|COX4_YEAST","1","3",3,"424.0635859599","-19.9511675043","2","-11.4234750986"
"34",1,"sp|P04050|RPB1_YEAST","1","2",2,"259.5876280739","-24.1421580170","2","-14.9064066325"
"35",1,"sp|P04076|ARLY_YEAST","1","27",27,"4251.4874717149","-18.2042963058","25","-9.3583628868"
"36",1,"sp|P04147|PABP_YEAST","1","46",46,"8264.0175088559","-17.5629798070","35","-9.1904951850"
"37",1,"sp|P04449|RL24A_YEAST","2","14",14,"2814.2212094509","-17.2207842796","14","-8.6161201765"
"38",1,"sp|P04456|RL25_YEAST","1","7",7,"1245.5829565251","-18.2703216196","6","-9.7121353121"
"39",1,"sp|P04801|SYTC_YEAST","1","16",16,"2589.6637899079","-19.5842670537","14","-10.8596320241"
"40",1,"sp|P04802|SYDC_YEAST","1","52",52,"11301.3070881605","-17.0605113899","46","-8.7453222546"
"41",1,"sp|P04806|HXKA_YEAST","1","36",36,"9177.4562594772","-17.1611422129","33","-9.0247975110"
"42",1,"sp|P04807|HXKB_YEAST","1","62",62,"13580.4532053962","-16.5987483920","52","-8.3717234788"
"43",1,"sp|P04840|VDAC1_YEAST","1","40",40,"9029.8549439282","-16.4073510396","36","-8.1220839347"
"44",1,"sp|P04911|H2A1_YEAST","2","8",8,"2154.5246242673","-17.3744201413","8","-9.1917448127"
"45",1,"sp|P05317|RLA0_YEAST","1","25",25,"4092.0707679907","-17.6899667329","18","-9.2628279107"
"46",1,"sp|P05318|RLA1_YEAST","1","2",2,"722.4613839547","-18.6343236820","2","-10.8752711479"
"47",1,"sp|P05319|RLA2_YEAST","1","14",14,"3940.1445926257","-16.1870674901","14","-8.0679162258"
"48",1,"sp|P05626|ATPF_YEAST","1","4",4,"856.3605213378","-19.5918427533","4","-11.0780880309"
"49",1,"sp|P05694|METE_YEAST","1","105",105,"23705.9810512933","-16.4532991828","94","-8.1758446091"
"50",1,"sp|P05738|RL9A_YEAST","2","26",26,"4282.8731278282","-16.9162454965","20","-8.4028514264"
"51",1,"sp|P05740|RL17A_YEAST","1","16",16,"780.9212680860","-19.3177085559","4","-10.6709126494"
"52",1,"sp|P05743|RL26A_YEAST","1","3",3,"451.3284499244","-19.5738306677","3","-10.5510728793"
"53",1,"sp|P05747|RL29_YEAST","1","2",2,"161.3973408116","-19.9513499445","2","-10.0299937427"
"54",1,"sp|P05750|RS3_YEAST","1","42",42,"7297.9223354949","-16.4768004069","34","-7.9667784477"
"55",1,"sp|P05756|RS13_YEAST","1","32",32,"5983.8531022812","-16.0947255896","32","-7.3857554326"
"56",1,"sp|P06101|CDC37_YEAST","1","4",4,"1053.3391865775","-20.3454191093","4","-12.1303442680"
"57",1,"sp|P06103|EIF3B_YEAST","1","8",8,"964.4066538241","-21.0652213462","7","-11.9155350181"
"58",1,"sp|P06105|SC160_YEAST","1","8",8,"1365.5586574144","-21.2429328927","7","-12.5950243411"
"59",1,"sp|P06106|CYSD_YEAST","1","45",45,"8330.5312335190","-17.1734029771","41","-8.5842145550"
"60",1,"sp|P06168|ILV5_YEAST","1","46",46,"10257.0742361081","-16.7045570871","41","-8.4155075317"
"61",1,"sp|P06367|RS14A_YEAST","2","15",15,"4250.8259534898","-16.4476845019","15","-8.3384921806"
"62",1,"sp|P06738|PHSG_YEAST","1","23",23,"3260.7114574803","-19.5491924507","18","-10.7944093151"
"63",1,"sp|P06780|RHO1_YEAST","1","9",9,"1176.4323833777","-18.9103363386","8","-9.8547098254"
"64",1,"sp|P06787|CALM_YEAST","1","11",11,"1973.8913848454","-17.6560253476","10","-9.0250949432"
"65",1,"sp|P07143|CY1_YEAST","1","6",6,"978.2173118355","-19.7406317352","5","-11.0968856263"
"66",1,"sp|P07149|FAS1_YEAST","1","104",104,"22446.4103982289","-17.9510945413","86","-9.7231977151"
"67",1,"sp|P07170|KAD2_YEAST","1","21",21,"4241.5334840396","-17.1472255244","19","-8.6938390462"
"68",1,"sp|P07245|C1TC_YEAST","1","30",30,"5601.2391521282","-18.8373459552","27","-10.2781595645"
"69",1,"sp|P07251|ATPA_YEAST","1","35",35,"7956.8032326691","-17.5353191064","35","-9.1081800960"
"70",1,"sp|P07256|QCR1_YEAST","1","11",11,"1922.2108335841","-19.3306793805","10","-10.6614729535"
"71",1,"sp|P07257|QCR2_YEAST","1","36",36,"8457.8224615078","-16.8806712882","33","-8.6265185300"
"72",1,"sp|P07259|PYR1_YEAST","1","181",181,"25927.1461008074","-17.8534436090","131","-9.2263671985"
"73",1,"sp|P07260|IF4E_YEAST","1","20",20,"3254.4572480442","-17.4696882669","13","-9.1816205954"
"74",1,"sp|P07262|DHE4_YEAST","1","82",82,"8473.5165870931","-17.1809832709","36","-8.8039741791"
"75",1,"sp|P07264|LEUC_YEAST","1","10",10,"1190.6072855553","-20.7911774996","8","-11.7528302114"
"76",1,"sp|P07267|CARP_YEAST","1","38",38,"6756.1097960188","-17.3429809328","30","-8.9022381955"
"77",1,"sp|P07274|PROF_YEAST","1","21",21,"3981.6168375429","-16.4213211396","21","-7.7323131940"
"78",1,"sp|P07278|KAPR_YEAST","1","9",9,"744.3241999303","-20.5638322797","4","-11.8477904114"
"79",1,"sp|P07280|RS19A_YEAST","2","35",35,"6719.2873770247","-15.8590123764","31","-7.3630793844"
"80",1,"sp|P07283|PMM_YEAST","1","13",13,"1567.4130902050","-18.7776948451","8","-10.1360353801"
"81",1,"sp|P07284|SYSC_YEAST","1","33",33,"6557.8354928084","-17.5759249392","27","-9.2442122325"
"82",1,"sp|P07342|ILVB_YEAST","1","18",18,"3869.6199000922","-18.9093700358","16","-10.5715169821"
"83",1,"sp|P07806|SYV_YEAST","1","52",52,"6647.0857073063","-18.8131981099","39","-9.9704729312"
"84",1,"sp|P08417|FUMH_YEAST","1","27",27,"4657.5803179337","-18.1485522987","18","-9.9081630294"
"85",1,"sp|P08524|FPPS_YEAST","1","24",24,"5070.5411419637","-17.5546875040","24","-9.0218198112"
"86",1,"sp|P08566|ARO1_YEAST","1","8",8,"1808.3584016642","-21.2157101700","7","-12.9729909684"
"87",1,"sp|P09064|IF2B_YEAST","1","5",5,"533.9555470470","-20.4974221737","3","-11.7172063016"
"88",1,"sp|P09232|PRTB_YEAST","1","18",18,"1810.7876608819","-19.8913910099","12","-10.8730009742"
"89",1,"sp|P09436|SYIC_YEAST","1","32",32,"5591.3808569285","-19.0202801821","29","-10.3554588886"
"90",1,"sp|P09624|DLDH_YEAST","1","17",17,"2367.6752613580","-19.1568203929","16","-10.1102466986"
"91",1,"sp|P09938|RIR2_YEAST","1","19",19,"4129.8823927081","-18.0315398470","17","-9.7001327883"
"92",1,"sp|P0C0T4|RS25B_YEAST","2","11",11,"2755.5704167121","-16.7299321166","11","-8.4428065768"
"93",1,"sp|P0C0V8|RS21A_YEAST","1","15",15,"746.5479693066","-18.3020322364","3","-10.0053316884"
"94",1,"sp|P0C0W1|RS22A_YEAST","2","12",12,"3477.1898609428","-16.6618415792","11","-8.7102868877"
"95",1,"sp|P0C0W9|RL11A_YEAST","2","13",13,"2039.5393071236","-17.8520957932","9","-9.4203691877"
"96",1,"sp|P0C0X0|RS28B_YEAST","2","6",6,"1028.5787050729","-17.4628326090","6","-8.6284773830"
"97",1,"sp|P0C2H6|RL27A_YEAST","2","41",41,"11619.6348860444","-14.9863656187","38","-6.9868860211"
"98",1,"sp|P0CX08|DSF1_YEAST","2","16",16,"1697.2573234617","-19.6457338527","11","-10.6594626286"
"99",1,"sp|P0CX23|RL20A_YEAST","2","40",40,"7731.6362711817","-15.9128865952","38","-7.3256879346"
"100",1,"sp|P0CX25|RL43A_YEAST","2","13",13,"1437.4054495056","-17.4374905045","8","-8.6709126494"
"101",1,"sp|P0CX29|RS23A_YEAST","2","5",5,"957.1627889392","-18.6804684829","5","-10.0053316884"
"102",1,"sp|P0CX31|RS24A_YEAST","2","31",31,"8268.2396039608","-15.4666310092","31","-7.2699699800"
"103",1,"sp|P0CX35|RS4A_YEAST","2","106",106,"24265.4397456017","-14.8644705055","101","-6.5170452071"
"104",1,"sp|P0CX37|RS6A_YEAST","2","49",49,"8713.0959468410","-16.1968532286","41","-7.6724417380"
"105",1,"sp|P0CX39|RS8A_YEAST","2","44",44,"7149.0493601833","-16.2435003856","35","-7.6619238661"
"106",1,"sp|P0CX41|RL23A_YEAST","2","19",19,"2497.2116344050","-17.2151095997","14","-8.4380278542"
"107",1,"sp|P0CX43|RL1A_YEAST","2","17",17,"3692.2548487549","-17.3144447067","15","-9.0020113301"
"108",1,"sp|P0CX45|RL2A_YEAST","2","24",24,"5794.2879601690","-16.8914489116","23","-8.6124734240"
"109",1,"sp|P0CX47|RS11A_YEAST","2","17",17,"2510.1090187388","-17.3950478035","15","-8.5258623166"
"110",1,"sp|P0CX49|RL18A_YEAST","2","10",10,"1985.7383650030","-17.9868788701","10","-9.3645814095"
"111",1,"sp|P0CX51|RS16A_YEAST","2","24",24,"4028.1163406631","-16.5871615939","21","-7.9149046073"
"112",1,"sp|P0CX53|RL12A_YEAST","2","20",20,"5243.4608041523","-16.4131984855","19","-8.2657453941"
"113",1,"sp|P0CX55|RS18A_YEAST","2","20",20,"3187.3741446767","-16.9548517906","19","-8.0892477387"
"114",1,"sp|P0CX80|MTCU1_YEAST","2","9",9,"1934.2632655195","-16.4163487786","9","-7.9081630294"
"115",1,"sp|P0CX82|RL19A_YEAST","2","62",62,"11711.5811738555","-15.4497740721","56","-6.9022381955"
"116",1,"sp|P0CX84|RL35A_YEAST","2","35",35,"9687.0858238457","-15.0682234813","32","-7.0542412889"
"117",1,"sp|P10080|SSBP1_YEAST","1","5",5,"1463.4589694038","-19.0876856561","5","-11.0250949432"
"118",1,"sp|P10081|IF4A_YEAST","1","65",65,"13701.9424518646","-16.2867959264","57","-7.9401695222"
"119",1,"sp|P10659|METK1_YEAST","1","16",16,"1024.1650636815","-19.9803761854","6","-11.1398170206"
"120",1,"sp|P10664|RL4A_YEAST","2","33",33,"7120.8828392870","-17.1051853802","29","-8.7892155853"
"121",1,"sp|P10963|PCKA_YEAST","1","61",61,"13733.3234414196","-16.7584490557","52","-8.5475733142"
"122",1,"sp|P11412|G6PD_YEAST","1","24",24,"4823.6578502808","-18.1474076086","23","-9.6039283149"
"123",1,"sp|P11484|SSB1_YEAST","1","130",130,"3427.3960043560","-18.9200259811","12","-10.8221314563"
"124",1,"sp|P11491|PPB_YEAST","1","9",9,"1655.9572946734","-19.8543883842","6","-11.7070464354"
"125",1,"sp|P11745|RNA1_YEAST","1","11",11,"1666.9153868195","-19.3690997189","11","-10.3568040589"
"126",1,"sp|P12709|G6PI_YEAST","1","88",88,"18300.4600279921","-16.3573297656","67","-8.1950036689"
"127",1,"sp|P13188|SYQ_YEAST","1","8",8,"595.0029703373","-21.8464227259","4","-12.8073465857"
"128",1,"sp|P13298|PYRE_YEAST","1","6",6,"580.4027329196","-20.0424483539","3","-11.3825671550"
"129",1,"sp|P13663|DHAS_YEAST","1","59",59,"9027.8613477947","-16.7747640015","44","-8.1996717284"
"130",1,"sp|P14020|DPM1_YEAST","1","18",18,"996.4829185094","-19.5031745608","6","-10.6230841243"
"131",1,"sp|P14120|RL30_YEAST","1","6",6,"1343.4702421142","-17.7256767608","6","-9.2766337102"
"132",1,"sp|P14126|RL3_YEAST","1","66",66,"9417.5893218900","-16.7982275537","44","-8.2841088308"
"133",1,"sp|P14540|ALF_YEAST","1","246",246,"61968.8809244264","-13.9717636327","216","-5.8803032250"
"134",1,"sp|P14742|GFA1_YEAST","1","31",31,"3742.8225932834","-19.0190982506","21","-10.2408625792"
"135",1,"sp|P14832|CYPH_YEAST","1","38",38,"6214.0958451679","-16.1417011185","26","-7.7867609780"
"136",1,"sp|P14904|AMPL_YEAST","1","6",6,"1033.9438614863","-20.3948623024","6","-11.5680127418"
"137",1,"sp|P15019|TAL1_YEAST","1","21",21,"3602.0161471472","-17.9766082459","19","-9.2874404652"
"138",1,"sp|P15108|HSC82_YEAST","1","182",182,"6275.3667001684","-18.2491752912","25","-9.9649739508"
"139",1,"sp|P15180|SYKC_YEAST","1","41",41,"3541.5748022273","-18.8200189153","13","-10.6539252953"
"140",1,"sp|P15303|SEC23_YEAST","1","6",6,"984.6792591672","-21.0446323346","6","-12.1473506933"
"141",1,"sp|P15454|KGUA_YEAST","1","5",5,"1305.3423453710","-18.5998618445","4","-10.6942451532"
"142",1,"sp|P15496|IDI1_YEAST","1","13",13,"1602.7212260114","-18.9267971027","6","-10.7323131940"
"143",1,"sp|P15624|SYFB_YEAST","1","18",18,"3021.8530030429","-19.0587079845","14","-10.5567416294"
"144",1,"sp|P15625|SYFA_YEAST","1","27",27,"4474.5365369114","-18.2500719402","26","-9.4213255650"
"145",1,"sp|P15646|FBRL_YEAST","1","7",7,"755.9796482594","-20.1941231334","4","-11.5004975188"
"146",1,"sp|P15703|BGL2_YEAST","1","15",15,"2774.3637897002","-18.2552574820","14","-9.6300146182"
"147",1,"sp|P15705|STI1_YEAST","1","51",51,"12099.7108890161","-17.0426187620","44","-8.8900428985"
"148",1,"sp|P15873|PCNA_YEAST","1","14",14,"2110.2688090311","-18.3711960814","14","-9.3512230267"
"149",1,"sp|P15891|ABP1_YEAST","1","20",20,"4579.1670458724","-18.4517637800","18","-10.1868790575"
"150",1,"sp|P15992|HSP26_YEAST","1","31",31,"5992.5945167903","-16.5956818369","25","-8.2449614899"
"151",1,"sp|P16120|THRC_YEAST","1","29",29,"5201.8978682847","-18.0639820840","23","-9.6294132864"
"152",1,"sp|P16140|VATB_YEAST","1","42",42,"6693.4526353023","-17.7086655017","34","-9.0739083224"
"153",1,"sp|P16387|ODPA_YEAST","1","2",2,"364.5485877219","-21.6074581092","2","-12.8615962110"
"154",1,"sp|P16474|BIP_YEAST","1","27",27,"3791.2370952725","-18.9283548560","23","-10.0374166663"
"155",1,"sp|P16547|OM45_YEAST","1","11",11,"1313.1969013287","-19.6626978606","8","-10.7657361956"
"156",1,"sp|P16550|APA1_YEAST","1","3",3,"1192.4913159141","-19.5098463362","3","-11.8888176797"
"157",1,"sp|P16861|PFKA1_YEAST","1","72",72,"13206.6309119066","-17.6611113151","56","-9.2869020457"
"158",1,"sp|P16862|PFKA2_YEAST","1","52",52,"12555.3174071840","-17.6925560179","49","-9.4380278542"
"159",1,"sp|P17076|RL8A_YEAST","1","3",3,"811.2880477648","-19.7391094699","3","-11.5623881926"
"160",1,"sp|P17255|VATA_YEAST","1","86",86,"15271.0048407552","-17.5694152836","75","-8.9832747676"
"161",1,"sp|P17423|KHSE_YEAST","1","13",13,"1781.7373191703","-19.0838912166","10","-10.3052028624"
"162",1,"sp|P17505|MDHM_YEAST","1","43",43,"11010.2161491534","-16.3603290150","41","-8.1735029812"
"163",1,"sp|P17536|TPM1_YEAST","1","31",31,"7945.9922788292","-16.0837928381","26","-8.0835355957"
"164",1,"sp|P17555|CAP_YEAST","1","4",4,"619.7716188704","-21.1665060021","4","-12.1862696826"
"165",1,"sp|P17649|GABAT_YEAST","1","9",9,"1655.9398895046","-19.5893285547","7","-11.2195790209"
"166",1,"sp|P17709|HXKG_YEAST","1","15",15,"2521.8775263937","-19.0686816801","13","-10.4126952598"
"167",1,"sp|P17967|PDI_YEAST","1","20",20,"3166.6446696287","-18.8023466146","17","-10.0877938486"
"168",1,"sp|P18562|UPP_YEAST","1","9",9,"1513.6617849099","-18.5942402282","7","-10.0948832734"
"169",1,"sp|P19097|FAS2_YEAST","1","112",112,"18121.7482665849","-18.1396240781","75","-9.8004107104"
"170",1,"sp|P19262|ODO2_YEAST","1","15",15,"2323.3682092689","-19.0760461807","12","-10.4172565758"
"171",1,"sp|P19414|ACON_YEAST","1","95",95,"17492.9038260074","-16.9123240624","76","-8.5030495248"
"172",1,"sp|P19882|HSP60_YEAST","1","63",63,"10901.2683795048","-17.1508428465","52","-8.6067823119"
"173",1,"sp|P20051|PYRC_YEAST","1","15",15,"3037.6623614318","-18.3422287273","10","-10.3332172386"
"174",1,"sp|P20081|FKBP_YEAST","1","7",7,"375.5595582105","-19.6831720022","2","-10.9802407075"
"175",1,"sp|P20606|SAR1_YEAST","1","12",12,"2515.4748000355","-17.6764204807","12","-9.1322438009"
"176",1,"sp|P20967|ODO1_YEAST","1","18",18,"3496.0116680025","-19.6175275463","15","-11.2263020347"
"177",1,"sp|P21243|PSA1_YEAST","1","16",16,"1881.2419517671","-18.5029901228","13","-9.4241908987"
"178",1,"sp|P21576|VPS1_YEAST","1","14",14,"2426.6574737895","-19.6178567434","13","-10.9063425938"
"179",1,"sp|P21965|MCK1_YEAST","1","4",4,"361.3810006437","-21.4565498299","2","-12.6980974787"
"180",1,"sp|P22133|MDHC_YEAST","1","7",7,"960.5723639430","-20.0538501151","6","-11.1208089058"
"181",1,"sp|P22137|CLH_YEAST","1","23",23,"4889.0046762830","-19.8387258332","19","-11.5902941891"
"182",1,"sp|P22141|PSB4_YEAST","1","7",7,"843.9306759221","-19.3115558295","6","-10.1917448127"
"183",1,"sp|P22146|GAS1_YEAST","1","12",12,"3772.9958832187","-18.6483895560","12","-10.6890926654"
"184",1,"sp|P22203|VATE_YEAST","1","7",7,"1723.5263296509","-18.5162184154","7","-10.2041819159"
"185",1,"sp|P22217|TRX1_YEAST","1","9",9,"1873.1523363712","-17.2184279031","7","-9.0264962984"
"186",1,"sp|P22515|UBA1_YEAST","1","19",19,"5281.4572080650","-19.0364595703","17","-11.0598878520"
"187",1,"sp|P22768|ASSY_YEAST","1","23",23,"4192.4917888952","-18.0838331686","17","-9.7741333697"
"188",1,"sp|P22803|TRX2_YEAST","1","11",11,"1846.8859702155","-17.2527405326","9","-8.6778654100"
"189",1,"sp|P22943|HSP12_YEAST","1","56",56,"13527.7092482658","-14.4477342818","52","-6.2150952999"
"190",1,"sp|P23248|RS3A2_YEAST","1","32",32,"392.2554445736","-20.7818836687","2","-12.1417041302"
"191",1,"sp|P23254|TKT1_YEAST","1","70",70,"13602.1324004184","-17.0810256105","63","-8.5794617059"
"192",1,"sp|P23301|IF5A1_YEAST","1","54",54,"13872.3102943819","-14.9378801891","52","-6.7415317240"
"193",1,"sp|P23542|AATC_YEAST","1","18",18,"2629.9742684675","-18.7497060569","13","-10.1542701072"
"194",1,"sp|P23639|PSA2_YEAST","1","5",5,"794.3783699641","-19.7352816483","4","-11.1131349780"
"195",1,"sp|P23641|MPCP_YEAST","1","8",8,"1812.6899404365","-18.8600342053","7","-10.6207665414"
"196",1,"sp|P23644|TOM40_YEAST","1","2",2,"425.0270416459","-21.2679588269","2","-12.7435404494"
"197",1,"sp|P24280|SEC14_YEAST","1","7",7,"1318.8672342419","-19.2860237818","7","-10.5879232847"
