"protein_group","abundance_12500amol_1","abundance_12500amol_2","abundance_12500amol_3","abundance_125amol_1","abundance_125amol_2","abundance_125amol_3","abundance_25000amol_1","abundance_25000amol_2","abundance_25000amol_3","abundance_2500amol_1","abundance_2500amol_2","abundance_2500amol_3","abundance_250amol_1","abundance_250amol_2","abundance_250amol_3","abundance_50000amol_1","abundance_50000amol_2","abundance_50000amol_3","abundance_5000amol_1","abundance_5000amol_2","abundance_5000amol_3","abundance_500amol_1","abundance_500amol_2","abundance_500amol_3","abundance_50amol_1","abundance_50amol_2","abundance_50amol_3","number_of_peptides_12500amol_1","number_of_peptides_12500amol_2","number_of_peptides_12500amol_3","number_of_peptides_125amol_1","number_of_peptides_125amol_2","number_of_peptides_125amol_3","number_of_peptides_25000amol_1","number_of_peptides_25000amol_2","number_of_peptides_25000amol_3","number_of_peptides_2500amol_1","number_of_peptides_2500amol_2","number_of_peptides_2500amol_3","number_of_peptides_250amol_1","number_of_peptides_250amol_2","number_of_peptides_250amol_3","number_of_peptides_50000amol_1","number_of_peptides_50000amol_2","number_of_peptides_50000amol_3","number_of_peptides_5000amol_1","number_of_peptides_5000amol_2","number_of_peptides_5000amol_3","number_of_peptides_500amol_1","number_of_peptides_500amol_2","number_of_peptides_500amol_3","number_of_peptides_50amol_1","number_of_peptides_50amol_2","number_of_peptides_50amol_3","differential_abundance_pvalue_12500amol_vs_125amol","differential_abundance_qvalue_12500amol_vs_125amol","log_ratios_12500amol_vs_125amol","differential_abundance_pvalue_12500amol_vs_25000amol","differential_abundance_qvalue_12500amol_vs_25000amol","log_ratios_12500amol_vs_25000amol","differential_abundance_pvalue_12500amol_vs_2500amol","differential_abundance_qvalue_12500amol_vs_2500amol","log_ratios_12500amol_vs_2500amol","differential_abundance_pvalue_12500amol_vs_250amol","differential_abundance_qvalue_12500amol_vs_250amol","log_ratios_12500amol_vs_250amol","differential_abundance_pvalue_12500amol_vs_50000amol","differential_abundance_qvalue_12500amol_vs_50000amol","log_ratios_12500amol_vs_50000amol","differential_abundance_pvalue_12500amol_vs_5000amol","differential_abundance_qvalue_12500amol_vs_5000amol","log_ratios_12500amol_vs_5000amol","differential_abundance_pvalue_12500amol_vs_500amol","differential_abundance_qvalue_12500amol_vs_500amol","log_ratios_12500amol_vs_500amol","differential_abundance_pvalue_12500amol_vs_50amol","differential_abundance_qvalue_12500amol_vs_50amol","log_ratios_12500amol_vs_50amol","differential_abundance_pvalue_125amol_vs_25000amol","differential_abundance_qvalue_125amol_vs_25000amol","log_ratios_125amol_vs_25000amol","differential_abundance_pvalue_125amol_vs_2500amol","differential_abundance_qvalue_125amol_vs_2500amol","log_ratios_125amol_vs_2500amol","differential_abundance_pvalue_125amol_vs_250amol","differential_abundance_qvalue_125amol_vs_250amol","log_ratios_125amol_vs_250amol","differential_abundance_pvalue_125amol_vs_50000amol","differential_abundance_qvalue_125amol_vs_50000amol","log_ratios_125amol_vs_50000amol","differential_abundance_pvalue_125amol_vs_5000amol","differential_abundance_qvalue_125amol_vs_5000amol","log_ratios_125amol_vs_5000amol","differential_abundance_pvalue_125amol_vs_500amol","differential_abundance_qvalue_125amol_vs_500amol","log_ratios_125amol_vs_500amol","differential_abundance_pvalue_125amol_vs_50amol","differential_abundance_qvalue_125amol_vs_50amol","log_ratios_125amol_vs_50amol","differential_abundance_pvalue_25000amol_vs_2500amol","differential_abundance_qvalue_25000amol_vs_2500amol","log_ratios_25000amol_vs_2500amol","differential_abundance_pvalue_25000amol_vs_250amol","differential_abundance_qvalue_25000amol_vs_250amol","log_ratios_25000amol_vs_250amol","differential_abundance_pvalue_25000amol_vs_50000amol","differential_abundance_qvalue_25000amol_vs_50000amol","log_ratios_25000amol_vs_50000amol","differential_abundance_pvalue_25000amol_vs_5000amol","differential_abundance_qvalue_25000amol_vs_5000amol","log_ratios_25000amol_vs_5000amol","differential_abundance_pvalue_25000amol_vs_500amol","differential_abundance_qvalue_25000amol_vs_500amol","log_ratios_25000amol_vs_500amol","differential_abundance_pvalue_25000amol_vs_50amol","differential_abundance_qvalue_25000amol_vs_50amol","log_ratios_25000amol_vs_50amol","differential_abundance_pvalue_2500amol_vs_250amol","differential_abundance_qvalue_2500amol_vs_250amol","log_ratios_2500amol_vs_250amol","differential_abundance_pvalue_2500amol_vs_50000amol","differential_abundance_qvalue_2500amol_vs_50000amol","log_ratios_2500amol_vs_50000amol","differential_abundance_pvalue_2500amol_vs_5000amol","differential_abundance_qvalue_2500amol_vs_5000amol","log_ratios_2500amol_vs_5000amol","differential_abundance_pvalue_2500amol_vs_500amol","differential_abundance_qvalue_2500amol_vs_500amol","log_ratios_2500amol_vs_500amol","differential_abundance_pvalue_2500amol_vs_50amol","differential_abundance_qvalue_2500amol_vs_50amol","log_ratios_2500amol_vs_50amol","differential_abundance_pvalue_250amol_vs_50000amol","differential_abundance_qvalue_250amol_vs_50000amol","log_ratios_250amol_vs_50000amol","differential_abundance_pvalue_250amol_vs_5000amol","differential_abundance_qvalue_250amol_vs_5000amol","log_ratios_250amol_vs_5000amol","differential_abundance_pvalue_250amol_vs_500amol","differential_abundance_qvalue_250amol_vs_500amol","log_ratios_250amol_vs_500amol","differential_abundance_pvalue_250amol_vs_50amol","differential_abundance_qvalue_250amol_vs_50amol","log_ratios_250amol_vs_50amol","differential_abundance_pvalue_50000amol_vs_5000amol","differential_abundance_qvalue_50000amol_vs_5000amol","log_ratios_50000amol_vs_5000amol","differential_abundance_pvalue_50000amol_vs_500amol","differential_abundance_qvalue_50000amol_vs_500amol","log_ratios_50000amol_vs_500amol","differential_abundance_pvalue_50000amol_vs_50amol","differential_abundance_qvalue_50000amol_vs_50amol","log_ratios_50000amol_vs_50amol","differential_abundance_pvalue_5000amol_vs_500amol","differential_abundance_qvalue_5000amol_vs_500amol","log_ratios_5000amol_vs_500amol","differential_abundance_pvalue_5000amol_vs_50amol","differential_abundance_qvalue_5000amol_vs_50amol","log_ratios_5000amol_vs_50amol","differential_abundance_pvalue_500amol_vs_50amol","differential_abundance_qvalue_500amol_vs_50amol","log_ratios_500amol_vs_50amol"
"sp|A0A0B7P3V8|YP41B_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A5Z2X5|YP010_YEAST",-18.1317333716,NA,-19.7191966221,-18.1344066463,-19.7265170373,NA,-19.7208892395,-19.6531182303,-19.6926039614,-19.6659426025,-18.6801341943,NA,-19.7114153346,-19.7829684319,-19.7477527901,-19.6708301531,-19.6826704875,-19.6727475468,-18.0439367534,-19.6249212278,-19.6738672172,-18.6864732023,-19.7015065967,-18.7220940648,-18.7593128559,-18.7220657012,-19.7432383618,3,NA,1,3,1,NA,1,1,1,1,2,NA,1,1,1,1,1,1,3,1,1,2,1,2,2,2,1,0.986389393939394,0.986342943854325,0.00499684494999997,0.16115447761194,0.666666666666667,0.763405480216665,0.617122403560831,0.892008639308855,0.24757340155,0.173729041916168,0.51980198019802,0.821913855350001,0.140346625766871,0.411167512690355,0.749951065616667,0.619334302325581,0.894514767932489,0.18877673595,0.794187595712098,0.911190053285968,0.111226291083334,0.812645384615385,0.884353741496599,0.149407309449998,0.153738618524333,0.423809523809524,0.758408635266665,0.7708,0.881756756756757,0.2425765566,0.140216643741403,0.735294117647059,0.816917010400001,0.185670926517572,0.400749063670412,0.744954220666667,0.760744477172312,0.885813148788927,0.183779891,0.829522431259045,0.939344262295082,0.106229446133334,0.796437154696133,0.91588785046729,0.144410464499998,0.191075803981623,0.754491017964072,-0.515832078666666,0.748637904468413,0.859744990892532,0.0585083751333357,0.936499226006192,0.966292134831461,-0.0134544145999982,0.210801503759398,0.738095238095238,-0.574628744266665,0.0982527910685805,0.446043165467626,-0.652179189133332,0.204407290015848,0.412811387900356,-0.613998170766667,0.181859486447932,0.681081081081081,0.574340453800001,0.211300806451613,0.462745098039216,0.502377664066668,0.894533619456366,0.953313253012048,-0.0587966655999992,0.707127192982456,0.889925373134328,-0.136347110466666,0.839605109489051,0.908082408874802,-0.0981660921000014,0.590083467094703,0.776842105263158,-0.0719627897333339,0.234526011560694,0.560283687943262,-0.633137119400001,0.0893243243243243,0.849315068493151,-0.710687564266667,0.104223463687151,0.293814432989691,-0.672506545900003,0.231592563291139,0.525291828793774,-0.561174329666667,0.129820428336079,0.427710843373494,-0.638724774533333,0.143096308186196,0.29368029739777,-0.600543756166669,0.796210606060606,0.932862190812721,-0.0775504448666666,0.918366917293233,0.942901234567901,-0.0393694265000022,0.914649408284024,0.952160493827161,0.0381810183666644
"sp|O00762ups|UBE2C_HUMAN_UPS",-18.1160680237,-18.9757961685,-18.8458500415,NA,NA,NA,-17.5581939443,-17.6749943955,-17.4923131794,-20.435157463,NA,NA,NA,NA,NA,-16.1280103487,-15.7625460976,-15.8825977784,-18.1493424408,-19.7214512965,-18.9934555265,NA,NA,NA,NA,NA,NA,8,5,6,NA,NA,NA,13,10,13,2,NA,NA,NA,NA,NA,25,29,30,8,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015860447761194,0.242424242424242,-1.0707375715,NA,NA,NA,NA,NA,NA,0.000793711656441718,0,-2.721520003,0.402148255813953,0.831288343558282,0.308845010033334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00119659442724458,0,-1.6507824315,0.0164097744360902,0.175,1.37958258153333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00342879746835443,0,3.03036501303334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O13329|FOB1_YEAST",-22.5307322354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O13516|RS9A_YEAST",NA,NA,NA,-21.4062489321,-21.5787535534,-21.7870125695,NA,NA,NA,NA,NA,-21.4833490084,NA,NA,NA,-21.2820585014,NA,NA,NA,NA,NA,NA,NA,-21.6186623769,NA,NA,-21.5677436172,31,23,32,22,16,23,21,32,27,32,26,26,21,25,28,38,31,33,29,27,32,25,29,33,22,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O13527|YA11B_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O13535|YH11B_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,23,20,16,21,24,26,24,25,27,28,27,23,24,27,19,19,24,29,29,27,22,26,25,22,27,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O13547|CCW14_YEAST",-17.489176575,-17.8239600727,-18.0353279768,-16.9461894926,-16.8524917131,-16.9568871127,-17.9130410227,-17.4546658997,-17.6032338214,-17.3507193386,-17.9944242758,-16.9507736486,-16.8161687434,-16.8425427989,-17.1831637918,-17.5840810553,-17.5161734657,-17.1155411773,-16.9425489156,-17.4355908303,-17.5775776264,-16.8701477547,-17.1274833494,-17.0063990554,-17.5075878671,-17.7023821186,-17.027128988,12,11,7,17,17,19,8,11,10,12,7,16,20,20,17,10,10,13,16,10,12,17,17,17,12,12,16,0.0110765151515152,0.148148148148148,-0.864298768699999,0.63140447761194,0.891257995735608,-0.125841293566666,0.323243323442137,0.817490494296578,-0.350849120499998,0.0149281437125748,0.275862068965517,-0.835529763466667,0.246651073619632,0.571428571428571,-0.377556308733332,0.222059593023256,0.768518518518518,-0.464249084066665,0.0400788667687596,0.428571428571429,-0.781478154999999,0.247555384615385,0.421686746987952,-0.370455216933333,0.0402315541601256,0.207920792079208,0.738457475133334,0.148539416058394,0.419811320754717,0.513449648200002,0.872327372764787,0.957575757575758,0.0287690052333325,0.064573482428115,0.191780821917808,0.486742459966667,0.192433726067747,0.462745098039216,0.400049684633334,0.679628075253256,0.899419729206963,0.0828206137000009,0.124438535911602,0.371980676328502,0.493843551766666,0.514695252679939,0.861042183622829,-0.225007826933332,0.0368482280431433,0.22093023255814,-0.709688469900001,0.424378482972136,0.705263157894737,-0.251715015166667,0.349875187969925,0.770764119601329,-0.3384077905,0.0481714513556619,0.2625,-0.655636861433333,0.546431854199683,0.726495726495726,-0.244613923366668,0.233576319543509,0.683794466403162,-0.484680642966669,0.935379838709677,0.968333333333333,-0.0267071882333347,0.724196709585122,0.953313253012048,-0.113399963566668,0.245682748538012,0.704641350210971,-0.430629034500001,0.947783211678832,0.962797619047619,-0.0196060964333356,0.0963049759229535,0.28,0.457973454733335,0.190182803468208,0.535864978902954,0.371280679400002,0.812167852062589,0.954468802698145,0.0540516084666685,0.178188547486034,0.4,0.465074546533334,0.780042721518987,0.918819188191882,-0.0866927753333329,0.25889373970346,0.526119402985075,-0.403921846266666,0.974829052969502,0.98538961038961,0.00710109179999918,0.371323484848485,0.752351097178683,-0.317229070933333,0.788218045112782,0.88026981450253,0.093793867133332,0.273132396449704,0.47787610619469,0.411022938066665
"sp|O13559|YRF14_YEAST",-22.9229294024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O13563|RPN13_YEAST",NA,NA,NA,NA,NA,NA,NA,-20.7559379739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.4753057412,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
